"","Iteration","Species","AbSpec","units"
"1",1,0.191086042220711,0.270675024072222,0.0238947468709492
"2",51,0.129043431850242,0.218307457772883,0.0250519720453436
"3",101,0.110538910792682,0.185405747224626,0.0246568030960275
"4",151,0.26528678771698,0.137713513350753,0.0249676838245293
"5",201,0.122402775326823,0.263547529422479,0.0247147938329498
"6",251,0.0741905087019517,0.169770880046252,0.0251663964492884
"7",301,0.187803196763575,0.236164496257178,0.0234323184710879
"8",351,0.273610834394255,0.139986495597453,0.0248004869177369
"9",401,0.255398199002268,0.15585663046984,0.024824398043735
"10",451,0.200430833131766,0.336356295794557,0.024514920235787
"11",501,0.214405906275415,0.29066462806434,0.0240418636851741
"12",551,0.289778186140791,0.215786262845602,0.0239681076801157
"13",601,0.263823732830088,0.312402221525906,0.0241537855406839
"14",651,0.260377013916868,0.220955851483576,0.0244014452762466
"15",701,0.292992002399753,0.123098234511111,0.0248252073219643
"16",751,0.256268105591561,0.130279317403871,0.0249399688742055
"17",801,0.107454242585953,0.214566891276768,0.0244357580611457
"18",851,0.292771781567995,0.142870396898897,0.0241064150001697
"19",901,0.054301430655423,0.178710024106559,0.0244270245598591
"20",951,0.131840005285495,0.344749893882517,0.0242609723602518
"21",1001,0.116698557013646,0.207330906892049,0.0246115113894057
"22",1051,0.172949736655005,0.216329642874922,0.0239242380001093
"23",1101,0.142331897021854,0.310349559757592,0.0245079603515312
"24",1151,0.257831915348744,0.192427479561637,0.024185767312765
"25",1201,0.161739891015923,0.193617385436219,0.0236042835573109
"26",1251,0.155141561872915,0.300877619264995,0.0245045223205692
"27",1301,0.0998387580759829,0.163264072712576,0.0235075385642256
"28",1351,0.117069293425574,0.153514433070938,0.0247844019558091
"29",1401,0.293681638157662,0.167518936084317,0.0243795980646208
"30",1451,0.0625065624464617,0.173439610776052,0.0250960468418913
"31",1501,0.242124455983515,0.276298172077858,0.0241341652986297
"32",1551,0.111366339356872,0.224389547671471,0.0235898947080854
"33",1601,0.296596775031901,0.14433577599807,0.0244461404421891
"34",1651,0.121290944070159,0.298046877432528,0.0244588278866421
"35",1701,0.284445039680275,0.149685885052062,0.0248469819042595
"36",1751,0.180161111289288,0.282331093456442,0.0243917772400418
"37",1801,0.115040343781644,0.351056510214393,0.0241183354443173
"38",1851,0.0634501809424034,0.161215726304285,0.0247236322948522
"39",1901,0.286965986578558,0.200498373147776,0.0234787694643011
"40",1951,0.246856940723386,0.304265663464343,0.0243838565520789
"41",2001,0.235636225460335,0.189737654575383,0.0247971323504072
"42",2051,0.220195221177516,0.144498852145353,0.0248573324952433
"43",2101,0.110322598896703,0.177931968711216,0.0238007582329593
"44",2151,0.273637502786156,0.259094027870906,0.0244068123701258
"45",2201,0.118789160934819,0.313029907189824,0.0239576874204143
"46",2251,0.285070164925609,0.121880762385203,0.0245529935677393
"47",2301,0.0388428720130362,0.103879384233958,0.0252106694563429
"48",2351,0.104039591954603,0.242456747730672,0.0237331417193234
"49",2401,0.255155316473804,0.17281518162146,0.0240951545373334
"50",2451,0.153219375446458,0.303307191397772,0.0242822181299536
"51",2501,0.115274244302605,0.27684075161842,0.0236877258342994
"52",2551,0.121512751037328,0.0663385765565591,0.0248526847539152
"53",2601,0.115382483063528,0.174775732088606,0.0239073901130277
"54",2651,0.270123697621304,0.210787715498812,0.0241638768343227
"55",2701,0.277706143313733,0.146068254482929,0.0247909091569042
"56",2751,0.251130318266785,0.206558914689098,0.0240182845276731
"57",2801,0.0478442804629811,0.0910152915147561,0.024811006234171
"58",2851,0.181491219062535,0.271797014081452,0.0240410565358476
"59",2901,0.0429462753784842,0.155862218325147,0.0245580113986343
"60",2951,0.131133945230419,0.160303662941425,0.0246271762692346
"61",3001,0.165929352389998,0.301239965487025,0.0243925753128331
"62",3051,0.076940574285969,0.169928237032286,0.0245122102453786
"63",3101,0.167304393415732,0.260410373365281,0.0244201945847337
"64",3151,0.175942195888583,0.326766381616144,0.0238977281360465
"65",3201,0.0808853403194173,0.173103342733525,0.0237700247317642
"66",3251,0.271383027369581,0.140789357371239,0.0250022358248973
"67",3301,0.160198672401663,0.271497671594617,0.0244748346587848
"68",3351,0.167291689274698,0.306963402963018,0.0239362169887226
"69",3401,0.114759768076166,0.307077919816112,0.0245324905807042
"70",3451,0.159202752569615,0.23869834248153,0.0248251236823638
"71",3501,0.198095695837955,0.310565111674932,0.0246243074353614
"72",3551,0.193343240100009,0.341019057202403,0.024275163562916
"73",3601,0.253173294251084,0.248188341542419,0.0241878969046867
"74",3651,0.288194069006746,0.145949481979576,0.024737359396591
"75",3701,0.118764232672117,0.155333008198359,0.0244558466793949
"76",3751,0.109876406267398,0.16305773244457,0.0249185353144603
"77",3801,0.179119629531319,0.182520902158028,0.0240913219175231
"78",3851,0.21129674765992,0.246018841918709,0.024129198897746
"79",3901,0.199574885361261,0.284188205121425,0.0241838015461188
"80",3951,0.147640520320912,0.318718176510198,0.0240098146346207
"81",4001,0.224660138131681,0.286089028854424,0.0242124009868426
"82",4051,0.220261568587033,0.34477584127973,0.0244571069485174
"83",4101,0.279637005445903,0.161765586505288,0.0247734140423649
"84",4151,0.175878646037496,0.283784597063181,0.024205244620726
"85",4201,0.255184191946627,0.151699903423103,0.0250391474309716
"86",4251,0.0965086456503057,0.200214044129314,0.0246685463432294
"87",4301,0.223730435861046,0.247292465832113,0.0240267418988963
"88",4351,0.182044250876098,0.344858537886798,0.0241366700575994
"89",4401,0.253502119516049,0.309693665397163,0.0243047086525545
"90",4451,0.289618806991902,0.128547076772426,0.0243658323906101
"91",4501,0.191075408685739,0.268196045802439,0.0247095519321616
"92",4551,0.0778654461340143,0.183889021916402,0.0239447793931115
"93",4601,0.243276877456178,0.263811198584654,0.0242101247213282
"94",4651,0.0836474635806668,0.161179520729276,0.024588946672622
"95",4701,0.179863119368653,0.279104220510364,0.0242052134537784
"96",4751,0.161595335353548,0.315961429117247,0.0240400310380343
"97",4801,0.162679749859334,0.285192976301749,0.0245714873031492
"98",4851,0.147590700910912,0.297823979071933,0.0240356948047941
"99",4901,0.0719965729432278,0.148568078797182,0.0251688367385786
"100",4951,0.17282974198801,0.186011002697863,0.0238987125364042
